lsoa21,Efficiency band E-G,Efficiency band A-B,Fossil fuel dependency,Property built 1930-,Property built 2003+,CO2_EMISSIONS_CURRENT
E01000001,19.26,5.74,45.61,10.14,2.7,3.09
E01000002,8.62,52.71,48.52,0,32.02,2.15
E01000003,7,19.83,63.17,0,0.83,1.89
E01000005,8.21,8.93,70.71,21.43,0,1.99
E01000006,12.62,2.15,69.23,32.92,2.15,3.68
E01000007,1.57,50.34,35.59,1.18,19.27,1.32
E01000008,3.09,8.88,93.05,0,2.7,2.2
E01000009,23.61,2.55,80.56,36.34,6.71,3.49
E01000011,21.09,,96.6,69.39,0,4.07
E01000012,9.68,21.39,40.58,10.87,14.6,2.34
E01000013,8.56,1.87,95.45,10.7,2.94,3.29
E01000014,11.14,0,97.21,7.24,,3.26
E01000015,6.45,6.45,98.24,7.42,25,2.65
E01000016,9.24,,98.37,9.78,0,3.28
E01000017,13.82,0,93.77,10.57,0,3.25
E01000018,12.24,,98.83,7.87,,3.31
E01000019,23.26,,95.14,11.46,0,3.92
E01000020,15.34,0,92.33,6.19,0,3.44
E01000021,19.17,5.44,78.76,17.88,5.7,3.31
E01000022,24.47,0,99.29,8.51,0,3.59
E01000024,16.6,0,98.72,6.81,0,3.62
E01000025,13.99,0,97.61,8.19,,3.23
E01000027,10.57,6.29,91.14,3.71,4,3.1
E01000028,10.21,2.88,95.55,1.31,0,2.78
E01000029,19.72,1.97,86.48,7.32,,3.68
E01000030,6.85,19.09,59.71,3.43,0,2.67
E01000031,20.99,3.09,88.89,16.67,3.7,4.08
E01000032,18.91,11.52,81.09,13.91,1.3,3.35
E01000033,12.23,4.89,64.53,4.59,,3.41
E01000034,15.88,2.89,98.92,5.05,5.42,3.23
E01000035,14.45,8.67,85.84,10.4,2.02,3.31
E01000036,18.3,0,96.6,15.32,2.13,3.8
E01000037,18.55,0,98.18,8.36,3.64,3.86
E01000038,18.33,1.61,96.14,5.79,,3.81
E01000039,10.71,0,93.51,2.6,2.27,3.26
