,Aged 4 years and under,Aged 75 and above,lone parent with dependent childern,Non-white,unpaid care 20h+,Detached,Semi-detached,Terraced,Flat,Shared house,Owned: Owns outright,Owns with a mortgage or loan or shared ownership,Social rented,Private rented,Entry-level education and below,Economically active: Employee: Part-time,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Unemploy,Elementary occupations,English not as main language,large household size >5 people,under occupancy,No central heating,Electric only
S01006506,4.2,8.0,1.7,3.2,1.7,23.2,13.9,7.3,46.2,8.4,30.4,39.6,9.9,14.2,34.4,11.7,12.1,2.6,4.0,3.8,3.3,7.1,1.9,0.7,69.3,1.4,15.6
S01006507,5.5,10.2,2.6,3.5,2.9,24.7,16.2,38.1,20.5,0.3,36.8,33.2,24.7,3.3,53.6,16.7,16.7,2.3,3.3,2.8,2.2,12.8,1.7,1.4,72.0,0.3,15.4
S01006508,3.8,3.7,2.2,5.1,1.7,12.5,6.8,11.4,66.1,2.8,24.7,57.6,5.6,10.6,32.4,10.8,9.2,2.5,3.4,1.3,2.6,7.3,0.3,0.3,69.7,1.5,19.4
S01006509,4.4,8.0,3.1,5.3,4.0,11.3,27.3,28.7,32.3,0.4,23.0,47.1,22.6,6.2,50.1,15.7,14.3,2.6,2.6,1.7,7.4,5.9,1.6,0.4,60.2,1.8,17.2
S01006510,2.3,16.5,2.0,2.5,3.1,13.8,40.3,14.2,30.2,1.1,35.5,30.9,22.7,7.8,53.2,13.4,16.9,4.0,4.2,6.6,5.1,7.6,1.9,0.4,70.3,1.2,4.3
S01006511,3.3,13.9,1.3,3.3,3.2,28.3,59.4,6.3,5.3,0.6,48.3,34.9,11.1,4.4,39.5,12.5,22.1,4.4,3.3,3.1,6.5,8.0,1.6,0.3,84.1,1.0,2.5
S01006512,3.9,7.8,1.3,7.3,1.3,69.8,19.0,8.4,1.1,0.6,40.6,43.5,2.4,9.4,30.6,15.0,7.6,7.4,9.1,0.9,1.8,8.1,0.8,2.4,88.2,2.4,5.9
S01006513,4.8,18.4,1.2,6.0,3.1,16.6,56.4,5.8,20.8,0.0,52.2,38.7,0.9,5.7,33.3,15.3,19.7,3.4,5.3,3.4,1.2,4.0,0.5,1.3,91.7,0.9,3.5
S01006514,3.3,11.6,0.6,6.1,2.5,71.8,23.4,1.7,3.1,0.0,43.4,41.0,2.1,10.9,24.6,12.8,14.1,6.9,7.9,0.4,2.4,5.2,1.1,2.4,96.2,0.6,2.4
S01006515,5.8,6.2,1.6,6.3,5.1,67.5,25.4,2.5,3.9,0.7,47.6,38.4,2.6,11.1,21.4,14.5,14.7,7.3,6.3,0.9,1.7,6.5,0.4,2.6,92.6,0.4,3.0
S01006516,1.8,9.4,0.7,7.0,2.8,62.6,25.6,5.1,2.1,4.1,55.1,27.6,2.2,4.3,22.8,7.1,15.6,9.0,5.4,1.2,0.5,5.8,0.8,2.7,95.1,0.5,1.6
S01006517,7.9,6.0,1.5,4.9,3.4,66.6,16.2,9.8,6.9,0.0,50.6,34.7,6.7,6.7,24.5,15.3,15.4,4.7,4.8,1.9,2.6,7.2,1.1,1.0,87.6,1.5,5.2
S01006518,3.4,11.8,1.1,2.6,1.6,82.3,10.2,1.6,2.8,1.6,62.3,29.1,0.4,6.9,19.6,13.8,17.5,5.8,6.2,0.4,3.4,3.9,0.0,1.6,96.8,0.0,2.4
S01006519,2.3,9.1,1.5,10.2,2.5,88.8,6.3,2.4,1.7,0.7,53.7,39.1,0.7,3.6,25.8,15.4,13.1,5.6,8.0,2.6,3.0,6.8,0.6,2.1,95.7,0.0,2.1
S01006520,2.8,3.2,1.1,14.7,1.1,94.3,2.6,1.3,1.8,0.0,37.8,40.5,0.5,20.3,15.2,14.3,9.9,7.8,11.3,0.4,2.8,3.8,0.6,3.2,98.6,0.0,0.9
S01006521,2.8,4.9,1.1,7.1,1.8,54.9,15.9,17.0,9.5,2.7,40.7,40.3,1.2,16.9,15.6,9.1,12.7,5.3,9.5,0.2,2.8,3.8,0.0,0.4,94.7,0.0,2.9
S01006522,5.0,5.9,1.2,5.1,1.9,42.6,49.3,0.9,3.6,2.7,48.2,43.6,0.9,6.0,16.0,14.2,15.7,3.5,5.5,0.0,3.7,4.5,0.9,0.5,98.2,0.5,5.5
S01006523,4.6,12.3,1.7,5.8,2.4,21.2,31.7,6.2,35.7,4.9,50.4,34.0,2.1,11.2,23.4,11.5,17.6,4.6,5.3,0.6,3.5,3.3,0.8,1.2,85.7,1.4,14.8
S01006524,2.2,14.7,1.1,6.2,4.3,38.7,16.9,3.8,37.2,1.7,51.6,27.1,3.5,12.4,35.1,9.9,13.3,4.9,5.3,8.9,5.3,5.0,2.1,1.6,79.9,1.3,16.2
S01006525,2.6,14.9,1.6,9.6,2.5,55.2,14.2,18.8,11.0,0.9,49.6,33.9,7.1,6.2,25.8,11.3,20.5,6.0,4.4,0.7,3.0,8.6,0.3,1.2,85.8,0.6,2.9
S01006526,5.0,8.4,3.3,7.0,3.3,2.2,16.9,29.9,49.9,0.7,15.9,24.8,44.4,10.3,50.9,13.6,9.6,10.7,2.4,4.1,11.5,17.9,2.4,0.7,50.8,0.5,3.9
S01006527,6.6,6.0,4.0,6.9,4.8,4.1,48.3,31.0,16.0,0.3,21.7,20.3,42.7,10.8,59.4,13.7,10.9,8.3,4.4,6.2,8.3,17.8,2.1,0.3,60.5,0.0,5.6
S01006528,6.5,5.9,2.5,16.1,2.7,2.2,31.8,36.2,28.3,1.5,26.8,25.2,27.7,18.2,45.2,14.0,13.5,12.7,2.9,3.2,6.3,15.8,2.6,1.8,56.8,0.9,6.7
S01006529,4.1,7.5,1.7,16.5,2.8,1.3,15.9,5.7,73.8,2.9,17.1,25.2,22.6,30.6,40.6,10.1,9.5,10.2,3.7,1.9,6.2,13.6,1.8,0.8,42.3,3.4,44.0
S01006530,3.7,5.8,2.4,9.5,5.0,1.1,30.7,17.2,49.9,0.8,21.6,23.9,37.6,12.4,52.0,12.8,11.0,7.3,2.6,6.8,8.4,15.9,1.6,1.7,58.1,2.8,10.1
S01006531,4.9,7.8,3.1,6.5,4.3,1.8,14.3,20.5,61.3,1.8,16.8,19.3,47.1,14.0,56.8,14.1,12.3,8.4,3.9,6.5,10.3,23.6,4.4,2.8,43.4,1.4,4.2
S01006532,3.6,20.0,1.1,6.6,1.7,13.0,45.7,12.7,25.4,3.2,40.9,33.5,3.0,10.4,35.7,11.6,17.1,5.4,2.7,2.5,2.7,4.8,1.0,0.9,76.9,1.8,5.3
S01006533,5.4,9.6,0.6,2.1,1.0,17.9,31.7,30.1,12.9,7.2,45.2,45.6,0.7,6.6,22.6,12.1,14.1,5.0,4.3,0.4,2.2,5.0,0.4,0.0,94.4,0.3,2.6
S01006534,3.5,6.7,1.0,4.1,1.4,12.6,27.1,22.5,26.9,10.9,41.0,41.2,1.5,13.1,21.4,10.7,13.1,3.6,6.6,0.6,2.0,6.3,0.7,1.3,88.7,2.3,7.8
S01006535,3.6,5.1,1.0,8.7,2.1,3.4,11.7,10.5,67.2,6.9,23.0,43.4,2.7,27.8,20.3,8.3,7.7,5.2,3.2,0.6,5.4,8.0,1.0,0.5,47.5,2.8,9.9
S01006536,2.4,4.8,0.6,7.4,0.7,1.1,6.7,11.6,69.4,10.6,21.4,38.0,4.2,31.1,19.9,7.9,6.1,4.2,2.0,0.9,4.3,6.8,1.0,0.5,43.0,5.4,13.4
S01006537,5.2,19.5,0.4,3.2,1.7,18.3,62.9,9.5,8.2,1.1,58.4,33.4,2.1,3.8,30.6,15.4,24.2,2.2,4.3,0.9,2.0,5.3,1.1,0.3,91.2,0.6,4.4
S01006538,3.5,11.7,0.9,4.9,2.8,26.3,60.3,10.5,2.8,0.0,55.0,40.8,1.2,2.5,26.0,13.9,18.0,2.9,3.4,1.2,4.6,7.2,1.5,1.2,91.7,0.8,3.8
S01006539,5.1,15.6,1.2,2.7,2.0,6.4,61.5,11.7,18.7,1.7,52.1,37.0,2.1,7.0,29.6,15.4,19.6,3.8,2.7,0.8,1.3,4.1,1.1,0.3,89.1,1.2,3.3
S01006540,4.6,8.1,0.6,8.2,2.9,6.7,53.5,3.9,33.9,0.8,39.2,40.1,1.6,14.9,26.1,12.0,13.0,4.0,4.3,1.5,1.9,4.5,0.3,0.2,80.0,2.0,5.3
S01006541,4.7,16.2,0.5,2.5,2.6,8.8,60.5,9.6,17.9,2.7,41.6,34.9,18.4,4.3,33.7,13.1,18.9,1.8,3.9,1.0,4.3,5.2,1.3,0.5,79.1,0.3,6.4
S01006542,5.3,12.6,1.0,7.5,3.7,21.0,50.5,1.2,27.4,0.0,55.2,28.8,1.4,11.9,32.2,10.7,21.2,3.0,5.0,1.3,2.4,3.4,2.1,0.6,89.3,1.2,12.5
S01006543,4.8,12.1,0.8,3.9,3.0,3.2,91.9,3.0,1.9,0.0,58.1,36.9,1.1,2.2,33.5,13.1,19.6,1.9,4.9,0.6,3.6,3.5,1.0,0.8,92.0,0.0,5.0
S01006544,4.2,10.9,1.0,12.7,2.5,18.6,16.8,10.3,51.3,3.7,31.8,36.9,2.0,25.2,23.9,9.5,8.6,4.8,4.6,0.5,3.9,3.2,0.8,0.4,68.2,0.6,3.9
S01006545,3.4,12.4,1.1,9.7,2.9,12.6,27.8,10.5,47.6,1.5,46.2,31.2,6.7,13.3,29.7,11.1,14.6,4.2,2.0,1.4,4.1,5.6,2.3,0.5,69.1,2.2,12.6
S01006546,4.6,13.2,0.6,2.2,3.3,21.2,70.4,1.1,7.3,0.0,56.9,36.6,0.0,5.3,25.3,12.8,18.5,4.9,4.3,1.9,2.8,2.2,1.0,0.8,96.9,0.8,2.7
S01006547,8.7,6.7,1.7,6.1,3.9,36.5,8.8,22.6,30.8,1.3,35.3,26.9,29.6,6.1,44.5,12.7,17.2,3.3,5.8,3.6,7.5,10.4,2.0,0.7,69.5,2.3,7.7
S01006548,4.5,15.8,0.3,2.6,1.4,7.9,90.5,0.6,0.9,0.0,61.9,32.7,0.6,3.2,26.2,14.7,24.3,3.4,2.4,0.6,2.2,4.7,1.6,0.6,95.2,1.6,2.9
S01006549,5.2,9.6,0.2,4.9,2.6,43.6,34.5,2.8,18.3,0.8,54.1,29.5,2.2,11.5,26.3,13.7,20.0,3.5,5.0,1.3,4.6,3.8,1.4,1.4,90.4,0.3,2.2
