Data zone code,Data zone name,Council area code,Council area name,Total population,Age0-4,Age75+
S01006506,Culter - 01,S12000033,Aberdeen City,863,36,69
S01006507,Culter - 02,S12000033,Aberdeen City,782,43,80
S01006508,Culter - 03,S12000033,Aberdeen City,600,23,22
S01006509,Culter - 04,S12000033,Aberdeen City,501,22,40
S01006510,Culter - 05,S12000033,Aberdeen City,620,14,102
S01006511,Culter - 06,S12000033,Aberdeen City,762,25,106
S01006512,Culter - 07,S12000033,Aberdeen City,644,25,50
S01006513,"Cults, Bieldside and Milltimber West - 01",S12000033,Aberdeen City,"1,007",48,185
S01006514,"Cults, Bieldside and Milltimber West - 02",S12000033,Aberdeen City,"1,273",42,148
S01006515,"Cults, Bieldside and Milltimber West - 03",S12000033,Aberdeen City,839,49,52
S01006516,"Cults, Bieldside and Milltimber West - 04",S12000033,Aberdeen City,650,12,61
S01006517,"Cults, Bieldside and Milltimber West - 05",S12000033,Aberdeen City,"1,739",137,105
S01006518,"Cults, Bieldside and Milltimber East - 01",S12000033,Aberdeen City,684,23,81
S01006519,"Cults, Bieldside and Milltimber East - 02",S12000033,Aberdeen City,955,22,87
S01006520,"Cults, Bieldside and Milltimber East - 03",S12000033,Aberdeen City,854,24,27
S01006521,"Cults, Bieldside and Milltimber East - 04",S12000033,Aberdeen City,818,23,40
S01006522,"Cults, Bieldside and Milltimber East - 05",S12000033,Aberdeen City,735,37,43
S01006523,"Cults, Bieldside and Milltimber East - 06",S12000033,Aberdeen City,"1,021",47,126
S01006524,"Cults, Bieldside and Milltimber East - 07",S12000033,Aberdeen City,"1,114",25,164
S01006525,"Cults, Bieldside and Milltimber East - 08",S12000033,Aberdeen City,890,23,133
S01006526,Garthdee - 01,S12000033,Aberdeen City,956,48,80
S01006527,Garthdee - 02,S12000033,Aberdeen City,830,55,50
S01006528,Garthdee - 03,S12000033,Aberdeen City,"1,193",77,70
S01006529,Garthdee - 04,S12000033,Aberdeen City,948,39,71
S01006530,Garthdee - 05,S12000033,Aberdeen City,781,29,45
S01006531,Garthdee - 06,S12000033,Aberdeen City,910,45,71
S01006532,"Braeside, Mannofield, Broomhill and Seafield East - 01",S12000033,Aberdeen City,779,28,156
S01006533,"Braeside, Mannofield, Broomhill and Seafield East - 02",S12000033,Aberdeen City,700,38,67
S01006534,"Braeside, Mannofield, Broomhill and Seafield East - 03",S12000033,Aberdeen City,961,34,64
