,Lone parent: Total,Lone parent: In part-time employment,Lone parent: In full-time employment,Lone parent: Not in employment,Male lone parent: Total,Male lone parent: In part-time employment,Male lone parent: In full-time employment,Male lone parent: Not in employment,Female lone parent: Total,Female lone parent: In part-time employment,Female lone parent: In full-time employment,Female lone parent: Not in employment
S92000003,169707,58858,39684,71165,13293,1560,6975,4758,156414,57298,32709,66407
S01006506,15,7,4,4,1,0,0,1,14,7,4,3
S01006507,22,12,6,4,3,1,2,0,19,11,4,4
S01006508,14,4,8,2,3,1,2,0,11,3,6,2
S01006509,18,8,7,3,2,0,2,0,16,8,5,3
S01006510,13,4,4,5,1,0,0,1,12,4,4,4
S01006511,10,1,7,2,1,0,1,0,9,1,6,2
S01006512,7,0,5,2,2,0,2,0,5,0,3,2
S01006513,8,4,3,1,1,0,1,0,7,4,2,1
S01006514,6,5,1,0,0,0,0,0,6,5,1,0
S01006515,12,4,5,3,1,0,1,0,11,4,4,3
S01006516,4,0,4,0,1,0,1,0,3,0,3,0
S01006517,15,5,5,5,0,0,0,0,15,5,5,5
S01006518,7,3,3,1,2,1,1,0,5,2,2,1
S01006519,13,6,2,5,2,0,1,1,11,6,1,4
S01006520,8,2,5,1,2,0,2,0,6,2,3,1
S01006521,7,3,2,2,1,0,1,0,6,3,1,2
S01006522,7,2,4,1,0,0,0,0,7,2,4,1
S01006523,16,3,9,4,2,0,2,0,14,3,7,4
S01006524,10,7,0,3,1,1,0,0,9,6,0,3
S01006525,13,4,6,3,0,0,0,0,13,4,6,3
S01006526,30,9,8,13,3,0,3,0,27,9,5,13
S01006527,27,10,4,13,0,0,0,0,27,10,4,13
S01006528,26,12,6,8,2,0,2,0,24,12,4,8
S01006529,15,6,4,5,1,1,0,0,14,5,4,5
S01006530,18,8,5,5,1,1,0,0,17,7,5,5
S01006531,30,10,3,17,1,0,0,1,29,10,3,16
S01006532,8,5,3,0,0,0,0,0,8,5,3,0
S01006533,4,2,2,0,0,0,0,0,4,2,2,0
S01006534,9,4,3,2,0,0,0,0,9,4,3,2
S01006535,10,0,6,4,1,0,1,0,9,0,5,4
S01006536,6,2,2,2,1,0,0,1,5,2,2,1
S01006537,3,2,1,0,1,0,1,0,2,2,0,0
S01006538,5,1,4,0,1,0,1,0,4,1,3,0
