,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
Scotland,2472956,2472489,302,165,2473881,2372777,36642,64462,546887,554307,458594,850961,45398,13359,4375
S01006506,452,452,-,-,452,424,9,19,105,63,33,209,38,3,1
S01006507,365,365,-,-,365,364,-,1,90,59,139,75,1,-,1
S01006508,351,351,-,-,351,340,5,6,44,24,40,232,10,-,1
S01006509,282,282,-,-,282,274,-,8,32,77,81,91,1,-,-
S01006510,268,268,-,-,268,256,4,8,37,108,38,81,3,1,-
S01006511,318,318,-,-,318,315,1,2,90,189,20,17,2,-,-
S01006512,179,179,-,-,179,170,2,7,125,34,15,2,1,-,2
S01006513,259,259,-,-,259,230,-,29,43,146,15,54,-,-,1
S01006514,351,351,-,-,351,339,2,10,252,82,6,11,-,-,-
S01006515,283,283,-,-,283,271,-,12,191,72,7,11,2,-,-
S01006516,195,195,-,-,195,185,2,8,122,50,10,4,8,1,-
S01006517,419,419,-,-,419,403,1,15,279,68,41,29,-,-,2
S01006518,254,254,-,-,254,247,1,6,209,26,4,7,4,4,-
S01006519,286,286,-,-,286,281,1,4,254,18,7,5,2,-,-
S01006520,228,228,-,-,228,222,1,5,215,6,3,4,-,-,-
S01006521,264,264,-,-,264,243,7,14,145,42,45,25,7,-,-
S01006522,223,223,-,-,223,218,2,3,95,110,2,8,6,2,-
S01006523,448,448,-,-,448,427,10,11,95,142,28,160,22,1,-
S01006524,344,344,-,-,344,314,5,25,133,58,13,128,6,6,-
S01006525,346,346,-,-,346,339,-,7,191,49,65,38,3,-,-
S01006526,451,451,-,-,451,439,6,6,10,76,135,225,3,2,-
S01006527,294,294,-,-,294,286,6,2,12,142,91,47,1,1,-
S01006528,459,459,-,-,459,433,22,4,10,146,166,130,7,-,-
S01006529,522,522,-,-,522,496,11,15,7,83,30,385,15,2,-
S01006530,361,361,-,-,361,356,1,4,4,111,62,180,3,1,-
S01006531,434,434,-,-,434,429,-,5,8,62,89,266,8,1,-
S01006532,346,346,-,-,346,337,-,9,45,158,44,88,11,-,-
S01006533,319,319,-,-,319,305,-,14,57,101,96,41,23,1,-
S01006534,413,413,-,-,413,398,6,9,52,112,93,111,45,-,-
S01006535,580,580,-,-,580,564,2,14,20,68,61,390,40,1,-
S01006536,611,610,1,-,612,589,19,4,7,41,71,424,65,4,-
S01006537,367,367,-,-,367,341,8,18,67,231,35,30,4,-,-
S01006538,247,247,-,-,247,240,4,3,65,149,26,7,-,-,-
S01006539,343,343,-,-,343,330,-,13,22,211,40,64,6,-,-
S01006540,508,508,-,-,508,451,6,51,34,272,20,172,4,6,-
S01006541,408,408,-,-,408,392,1,15,36,247,39,73,11,2,-
S01006542,519,519,-,-,519,496,14,9,109,262,6,142,-,-,-
S01006543,371,371,-,-,371,363,-,8,12,341,11,7,-,-,-
S01006544,624,622,-,2,630,507,31,92,116,105,64,320,23,2,-
S01006545,618,618,-,-,618,586,16,16,78,172,65,294,9,-,-
S01006546,274,274,-,-,274,262,7,5,58,193,3,20,-,-,-
S01006547,455,455,-,-,455,442,-,13,166,40,103,140,6,-,-
S01006548,316,316,-,-,316,312,2,2,25,286,2,3,-,-,-
S01006549,388,388,-,-,388,366,5,17,169,134,11,71,3,-,-
S01006550,400,400,-,-,400,389,4,7,148,232,10,5,4,-,1
S01006551,408,408,-,-,408,392,10,6,42,40,114,202,7,3,-
S01006552,432,432,-,-,432,417,10,5,89,147,85,111,-,-,-
S01006553,410,410,-,-,410,407,-,3,164,82,91,71,1,1,-
S01006554,350,350,-,-,350,330,15,5,64,81,48,151,2,4,-
S01006555,386,386,-,-,386,374,1,11,13,57,49,266,1,-,-
S01006556,417,417,-,-,417,399,6,12,9,75,148,177,6,2,-
S01006557,354,354,-,-,354,338,10,6,14,46,127,166,1,-,-
S01006558,363,363,-,-,363,354,3,6,4,18,88,218,35,-,-
S01006559,280,278,2,-,282,272,7,3,13,62,55,108,41,3,-
S01006560,449,448,-,1,451,432,8,11,50,112,87,151,48,3,-
S01006561,327,327,-,-,327,323,1,3,38,122,79,60,28,-,-
S01006562,344,344,-,-,344,334,4,6,78,101,65,92,8,-,-
