,All people aged 3 and over,Understands but does not speak read or write English,Speaks reads and writes English,Speaks but does not read or write English,Speaks and reads but does not write English,Reads but does not speak or write English,Other combination of skills in English,No skills in English
S92000003,5118223,98320,4799106,154559,33968,1854,21801,8615
S01006506,834,15,780,30,3,0,5,1
S01006507,815,13,777,18,5,0,1,1
S01006508,618,2,597,14,5,0,0,0
S01006509,559,9,521,21,2,0,6,0
S01006510,626,12,577,27,5,0,5,0
S01006511,738,11,704,13,5,0,4,1
S01006512,504,4,477,12,5,1,5,0
S01006513,631,2,606,18,4,0,0,1
S01006514,1019,8,970,29,6,0,3,3
S01006515,745,2,701,29,9,0,3,1
S01006516,527,3,504,14,3,0,2,1
S01006517,989,11,933,33,9,0,3,0
S01006518,613,0,591,18,2,0,2,0
S01006519,850,3,809,27,8,0,1,2
S01006520,707,2,665,25,12,1,0,2
S01006521,635,0,612,18,4,0,1,0
S01006522,544,5,511,23,4,0,1,0
S01006523,910,6,873,21,6,0,3,1
S01006524,895,18,822,42,9,0,3,1
S01006525,778,2,739,28,6,0,3,0
S01006526,873,21,813,25,9,0,5,0
S01006527,660,10,607,33,5,0,1,4
S01006528,1003,25,941,27,4,0,5,1
S01006529,867,8,822,23,2,0,4,8
S01006530,738,12,699,18,4,0,5,0
S01006531,928,40,840,35,9,0,3,1
S01006532,723,3,690,19,5,0,2,4
S01006533,683,1,659,18,1,0,2,2
S01006534,876,6,840,25,3,1,1,0
S01006535,1002,6,964,23,5,0,0,4
S01006536,980,8,945,14,8,0,3,2
S01006537,730,8,700,15,2,1,4,0
S01006538,548,8,523,10,5,0,2,0
S01006539,722,8,685,20,6,0,3,0
S01006540,918,3,886,22,7,0,0,0
S01006541,761,10,730,20,0,0,1,0
S01006542,973,19,923,20,1,0,9,1
S01006543,771,7,738,20,3,0,2,1
S01006544,1034,6,996,21,6,0,3,2
S01006545,1028,23,966,31,5,0,2,1
S01006546,613,3,590,16,0,0,1,3
S01006547,880,18,825,24,7,0,6,0
S01006548,700,11,670,13,3,0,3,0
S01006549,789,11,758,15,3,0,2,0
S01006550,921,14,868,30,7,0,0,2
S01006551,673,33,605,25,7,0,0,3
S01006552,842,9,812,15,5,0,1,0
S01006553,825,15,764,29,13,2,1,1
S01006554,691,8,661,17,3,0,1,1
S01006555,774,11,718,22,12,2,5,4
S01006556,808,26,751,18,7,0,4,2
S01006557,674,10,624,27,8,0,3,2
S01006558,607,4,584,13,4,0,2,0
S01006559,594,4,566,13,5,0,2,4
S01006560,998,16,936,37,6,1,2,0
S01006561,745,6,700,25,5,0,4,5
S01006562,708,14,661,22,5,2,4,0
S01006563,797,8,742,25,15,0,4,3
S01006564,957,22,884,33,7,1,2,8
S01006565,966,14,921,18,7,1,5,0
S01006566,735,11,703,13,2,0,3,3
S01006567,817,18,780,10,2,1,3,3
S01006568,901,6,871,15,3,1,3,2
S01006569,542,7,519,14,0,0,1,1
S01006570,758,7,720,26,2,1,2,0
S01006571,856,4,826,20,5,0,1,0
S01006572,873,5,833,26,4,0,3,2
S01006573,706,4,668,20,7,0,3,4
S01006574,974,2,939,21,8,1,3,0
S01006575,910,8,873,22,5,0,2,0
S01006576,695,5,672,17,1,0,0,0
S01006577,748,7,717,16,5,0,2,1
S01006578,1074,18,1011,26,9,1,3,6
S01006579,945,6,915,17,5,0,1,1
S01006580,700,6,675,11,4,0,2,2
S01006581,877,6,840,21,7,1,1,1
S01006582,847,5,826,10,5,0,0,1
S01006583,699,2,684,6,5,0,0,2
S01006584,607,6,586,14,0,0,1,0
S01006585,780,17,747,6,5,0,4,1
S01006586,1009,22,959,12,6,0,7,3
S01006587,517,6,494,6,5,0,4,2
S01006588,569,3,545,14,3,0,3,1
S01006589,667,7,637,13,9,0,1,0
S01006590,686,1,671,4,8,0,0,2
S01006591,707,7,674,21,2,0,0,3
S01006592,650,0,634,12,2,0,2,0
S01006593,748,11,704,19,7,2,2,3
S01006594,527,11,503,10,1,0,0,2
S01006595,909,3,883,16,5,0,1,1
S01006596,699,8,639,35,14,0,2,1
S01006597,513,6,496,9,0,0,1,1
S01006598,912,3,870,28,3,1,4,3
S01006599,791,18,745,19,2,0,4,3
S01006600,1081,27,1014,31,7,0,1,1
S01006601,977,7,939,20,5,0,3,3
S01006602,851,17,794,24,8,1,4,3
S01006603,813,27,735,40,9,1,1,0
S01006604,662,13,624,19,4,0,1,1
S01006605,759,20,700,26,8,0,4,1
S01006606,803,22,748,24,5,1,3,0
S01006607,906,29,837,28,4,1,5,2
S01006608,702,13,659,19,6,1,3,1
S01006609,1031,30,943,37,9,0,10,2
S01006610,435,13,402,17,1,0,2,0
S01006611,891,16,838,25,7,0,5,0
S01006612,841,17,791,27,1,0,4,1
S01006613,593,3,571,14,4,0,0,1
S01006614,632,2,613,15,2,0,0,0
S01006615,744,3,692,43,4,0,1,1
S01006616,760,5,738,14,1,0,1,1
S01006617,665,15,618,25,5,0,2,0
S01006618,508,4,494,6,3,0,0,1
S01006619,860,8,823,24,2,0,0,3
S01006620,818,13,771,29,4,0,1,0
S01006621,499,9,472,12,2,0,4,0
S01006622,645,3,623,14,0,0,3,2
S01006623,743,16,659,56,4,0,4,4
S01006624,937,20,865,30,6,0,6,10
S01006625,599,28,546,16,1,0,1,7
S01006626,696,34,621,29,7,0,3,2
S01006627,822,33,703,39,13,5,4,25
S01006628,1046,41,886,72,15,3,3,26
S01006629,771,25,688,48,3,0,1,6
S01006630,605,20,545,28,6,1,2,3
S01006631,908,33,811,40,14,1,3,6
S01006632,772,29,677,40,8,3,6,9
S01006633,670,24,610,28,4,0,0,4
S01006634,601,24,508,36,14,7,3,9
S01006635,631,19,554,42,5,0,3,8
S01006636,819,21,724,45,15,1,3,10
S01006637,730,19,655,37,11,0,3,5
S01006638,824,17,792,8,7,0,0,0
S01006639,929,31,856,28,3,2,1,8
S01006640,705,3,688,6,3,0,4,1
S01006641,1021,9,977,23,7,0,2,3
S01006642,1351,8,1326,11,5,0,1,0
S01006643,717,5,695,7,6,0,4,0
S01006644,950,15,908,22,1,0,3,1
S01006645,639,10,601,16,6,1,3,2
S01006646,993,11,967,7,0,0,4,4
S01006647,621,22,568,23,2,0,0,6
S01006648,1774,21,1714,16,9,0,6,8
S01006649,935,7,899,16,6,0,3,4
S01006650,845,8,807,11,11,2,2,4
S01006651,629,16,590,15,3,1,3,1
S01006652,539,6,512,13,4,0,3,1
S01006653,547,2,531,8,3,1,1,1
S01006654,884,18,830,27,6,0,2,1
S01006655,699,23,639,19,12,1,3,2
S01006656,940,9,886,24,12,0,2,7
S01006657,520,3,502,8,2,1,3,1
S01006658,993,12,926,36,6,0,4,9
S01006659,617,6,598,6,5,0,2,0
