,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S92000003,2372777,823314,807658,357491,272329,86722,18389,4614,2260
S01006506,424,165,159,49,36,12,3,0,0
S01006507,364,99,150,49,49,12,3,0,2
S01006508,340,151,114,40,32,2,1,0,0
S01006509,274,87,110,43,28,5,0,1,0
S01006510,256,81,88,38,40,8,1,0,0
S01006511,315,77,129,42,48,18,1,0,0
S01006512,170,22,57,29,41,17,4,0,0
S01006513,230,57,80,39,39,12,3,0,0
S01006514,339,51,120,61,78,21,7,1,0
S01006515,271,40,92,57,52,23,5,2,0
S01006516,185,40,72,30,29,9,3,2,0
S01006517,403,86,153,68,66,26,4,0,0
S01006518,247,46,98,44,46,9,4,0,0
S01006519,281,30,110,48,59,28,5,1,0
S01006520,222,16,62,42,57,38,5,1,1
S01006521,243,35,84,53,55,15,1,0,0
S01006522,218,40,75,41,50,11,1,0,0
S01006523,427,156,131,67,49,19,4,1,0
S01006524,314,111,109,36,33,20,2,1,2
S01006525,339,93,124,58,41,19,4,0,0
S01006526,439,169,151,62,43,11,3,0,0
S01006527,286,87,87,56,37,18,0,1,0
S01006528,433,139,145,77,49,15,6,2,0
S01006529,496,256,143,56,27,10,4,0,0
S01006530,356,133,126,48,35,8,3,3,0
S01006531,429,174,103,74,51,15,10,2,0
S01006532,337,126,125,36,35,12,2,1,0
S01006533,305,88,108,53,49,7,0,0,0
S01006534,398,117,147,58,61,10,4,1,0
S01006535,564,268,185,62,35,11,2,1,0
S01006536,589,312,177,67,22,8,3,0,0
S01006537,341,100,138,47,44,11,1,0,0
S01006538,240,52,109,35,32,9,2,0,1
S01006539,330,105,136,33,44,11,1,0,0
S01006540,451,149,169,72,49,11,1,0,0
S01006541,392,157,134,43,45,11,2,0,0
S01006542,496,172,209,63,42,7,3,0,0
S01006543,363,106,145,58,48,3,2,0,1
S01006544,507,192,188,71,43,11,2,0,0
S01006545,586,288,192,52,36,15,3,0,0
S01006546,262,70,96,33,52,9,2,0,0
S01006547,442,177,148,61,32,21,3,0,0
S01006548,312,71,141,44,46,8,2,0,0
S01006549,366,108,154,46,41,12,3,1,1
S01006550,389,79,187,53,58,10,0,1,1
S01006551,392,220,103,29,27,11,0,2,0
S01006552,417,136,176,52,41,10,2,0,0
S01006553,407,161,144,46,43,11,2,0,0
S01006554,330,107,136,48,26,13,0,0,0
S01006555,374,152,115,57,40,10,0,0,0
S01006556,399,146,136,67,35,12,2,1,0
S01006557,338,133,107,55,28,13,2,0,0
S01006558,354,180,111,37,21,5,0,0,0
S01006559,272,90,97,40,28,12,4,1,0
S01006560,432,151,131,55,71,21,3,0,0
S01006561,323,94,111,47,50,17,4,0,0
S01006562,334,125,111,50,35,12,1,0,0
S01006563,366,120,128,47,54,13,2,2,0
S01006564,578,307,186,57,18,5,3,1,1
S01006565,565,340,173,46,4,2,0,0,0
S01006566,437,215,165,35,16,2,4,0,0
S01006567,552,337,166,35,11,2,0,1,0
S01006568,575,306,210,43,12,4,0,0,0
S01006569,311,154,100,27,21,7,2,0,0
S01006570,371,139,129,46,40,14,3,0,0
S01006571,427,160,154,56,41,12,2,2,0
S01006572,374,107,127,53,60,21,6,0,0
S01006573,290,79,91,48,49,17,4,2,0
S01006574,427,144,146,58,42,25,10,2,0
S01006575,399,121,148,51,59,17,3,0,0
S01006576,325,117,105,45,39,18,1,0,0
S01006577,430,211,142,42,30,4,0,0,1
S01006578,633,346,210,51,19,5,2,0,0
S01006579,640,394,187,42,15,2,0,0,0
S01006580,422,238,116,39,22,6,0,1,0
S01006581,402,141,134,58,48,12,9,0,0
S01006582,466,228,172,45,17,3,0,1,0
S01006583,404,193,142,50,14,4,0,0,1
S01006584,354,176,117,35,18,7,1,0,0
S01006585,465,228,180,33,16,6,1,0,1
S01006586,650,371,214,50,11,2,0,2,0
S01006587,318,171,95,38,12,1,0,1,0
S01006588,338,167,122,28,14,7,0,0,0
S01006589,367,144,159,44,13,6,1,0,0
S01006590,379,208,118,34,13,4,1,0,1
S01006591,367,152,139,47,17,9,2,0,1
S01006592,374,165,152,29,19,7,1,1,0
S01006593,411,188,149,49,18,5,2,0,0
S01006594,345,199,107,31,7,1,0,0,0
S01006595,555,293,187,54,18,3,0,0,0
S01006596,359,155,135,35,25,6,3,0,0
S01006597,352,218,117,10,5,1,1,0,0
S01006598,435,136,158,73,59,6,2,0,1
S01006599,499,269,175,38,13,4,0,0,0
S01006600,587,296,184,46,52,6,3,0,0
S01006601,572,296,185,44,34,10,3,0,0
S01006602,414,179,118,54,44,16,3,0,0
