,All households,+2 or more,1,0	,-1,-2 or less
S92000003,2372777,903732,663261,591439,168653,45692
S01006506,424,151,143,97,27,6
S01006507,364,148,114,77,21,4
S01006508,340,107,130,94,9,0
S01006509,274,71,94,94,12,3
S01006510,256,100,80,58,14,4
S01006511,315,214,51,41,7,2
S01006512,170,134,16,14,4,2
S01006513,230,149,62,14,4,1
S01006514,339,284,42,11,1,1
S01006515,271,224,27,13,6,1
S01006516,185,159,17,5,3,1
S01006517,403,290,63,33,15,2
S01006518,247,220,19,7,1,0
S01006519,281,250,19,9,2,1
S01006520,222,213,6,1,1,1
S01006521,243,205,25,11,2,0
S01006522,218,194,20,1,3,0
S01006523,427,236,130,55,5,1
S01006524,314,180,71,54,8,1
S01006525,339,219,72,39,8,1
S01006526,439,86,137,163,44,9
S01006527,286,93,80,89,19,5
S01006528,433,139,107,142,35,10
S01006529,496,95,115,190,68,28
S01006530,356,122,85,116,26,7
S01006531,429,84,102,191,39,13
S01006532,337,171,88,70,6,2
S01006533,305,235,53,15,1,1
S01006534,398,261,92,32,10,3
S01006535,564,170,98,238,49,9
S01006536,589,150,103,247,76,13
S01006537,341,263,48,24,5,1
S01006538,240,184,36,15,4,1
S01006539,330,215,79,29,4,3
S01006540,451,283,78,68,17,5
S01006541,392,254,56,75,5,2
S01006542,496,295,148,43,9,1
S01006543,363,245,89,27,1,1
S01006544,507,257,89,119,36,6
S01006545,586,259,146,151,25,5
S01006546,262,225,29,7,1,0
S01006547,442,172,135,106,28,1
S01006548,312,255,42,11,4,0
S01006549,366,278,53,25,8,2
S01006550,389,338,42,5,4,0
S01006551,392,69,154,108,46,15
S01006552,417,250,113,48,5,1
S01006553,407,208,81,100,16,2
S01006554,330,126,84,90,23,7
S01006555,374,65,123,133,44,9
S01006556,399,48,134,174,35,8
S01006557,338,60,107,141,21,9
S01006558,354,120,60,140,33,1
S01006559,272,156,50,49,11,6
S01006560,432,263,75,77,10,7
S01006561,323,246,52,16,8,1
S01006562,334,183,51,62,26,12
S01006563,366,181,79,79,17,10
S01006564,578,35,149,290,89,15
S01006565,565,26,77,301,139,22
S01006566,437,92,126,174,31,14
S01006567,552,30,118,262,115,27
S01006568,575,63,99,300,99,14
S01006569,311,86,41,125,47,12
S01006570,371,181,79,88,16,7
S01006571,427,241,75,89,18,4
S01006572,374,300,53,12,7,2
S01006573,290,222,45,16,6,1
S01006574,427,285,82,48,11,1
S01006575,399,206,99,80,13,1
S01006576,325,167,49,84,20,5
S01006577,430,150,61,162,54,3
S01006578,633,73,159,272,118,11
S01006579,640,37,162,351,70,20
S01006580,422,116,72,170,60,4
S01006581,402,282,69,40,11,0
S01006582,466,41,121,242,45,17
S01006583,404,35,138,187,40,4
S01006584,354,42,117,135,56,4
S01006585,465,24,145,209,75,12
S01006586,650,55,155,305,118,17
S01006587,318,13,64,176,45,20
S01006588,338,10,58,176,69,25
S01006589,367,15,103,169,56,24
S01006590,379,46,114,128,81,10
S01006591,367,41,114,142,58,12
S01006592,374,67,166,110,27,4
S01006593,411,71,164,135,32,9
S01006594,345,51,150,111,25,8
S01006595,555,71,212,218,47,7
S01006596,359,126,58,135,29,11
S01006597,352,13,55,221,54,9
S01006598,435,257,116,48,8,6
S01006599,499,56,149,239,44,11
S01006600,587,158,194,179,48,8
S01006601,572,137,176,178,66,15
S01006602,414,197,103,101,11,2
S01006603,385,75,132,145,24,9
S01006604,291,83,117,73,11,7
S01006605,409,53,147,171,29,9
S01006606,390,218,79,71,19,3
S01006607,385,141,117,86,38,3
S01006608,284,204,53,16,6,5
S01006609,490,101,214,127,38,10
S01006610,212,33,91,65,19,4
S01006611,425,83,168,134,30,10
S01006612,373,139,121,89,19,5
S01006613,259,127,69,54,7,2
S01006614,265,135,92,34,4,0
S01006615,270,202,40,23,3,2
S01006616,337,135,72,114,13,3
S01006617,297,137,80,67,10,3
S01006618,246,98,70,68,10,0
S01006619,372,173,100,86,11,2
S01006620,390,124,141,105,14,6
S01006621,235,81,78,66,10,0
S01006622,292,89,99,79,21,4
S01006623,359,123,98,109,21,8
S01006624,481,73,89,194,102,23
S01006625,288,82,95,71,22,18
S01006626,377,26,111,161,62,17
S01006627,511,29,78,245,119,40
S01006628,635,38,111,291,145,50
S01006629,315,60,96,117,25,17
S01006630,256,75,73,79,21,8
S01006631,493,71,102,236,67,17
S01006632,423,31,145,188,45,14
S01006633,288,62,67,116,33,10
S01006634,291,24,92,132,37,6
S01006635,289,75,92,80,29,13
S01006636,386,34,126,173,37,16
S01006637,413,58,95,193,49,18
S01006638,504,34,85,263,100,22
S01006639,592,32,93,330,109,28
S01006640,376,32,127,156,50,11
S01006641,602,31,144,256,155,16
S01006642,492,33,104,223,114,18
S01006643,419,23,101,191,94,10
S01006644,553,28,118,273,113,21
S01006645,393,16,121,196,49,11
S01006646,340,12,73,180,62,13
S01006647,341,25,132,137,40,7
S01006648,651,23,112,353,132,31
S01006649,583,22,131,319,89,22
S01006650,481,58,80,208,96,39
S01006651,382,26,56,208,73,19
S01006652,308,14,88,155,41,10
S01006653,296,80,94,93,23,6
S01006654,504,41,140,252,58,13
S01006655,334,90,84,114,39,7
S01006656,524,61,115,280,56,12
S01006657,286,23,55,150,46,12
S01006658,525,43,120,215,108,39
S01006659,287,70,81,86,41,9
S01006660,247,25,48,109,46,19
S01006661,301,65,75,109,39,13
S01006662,285,56,92,90,38,9
S01006663,245,42,56,90,51,6
S01006664,237,23,48,116,41,9
S01006665,316,37,39,151,74,15
S01006666,499,25,100,308,46,20
S01006667,447,19,120,236,57,15
S01006668,413,9,97,211,85,11
S01006669,444,43,49,278,60,14
S01006670,347,8,46,216,60,17
S01006671,233,34,90,78,24,7
S01006672,366,40,113,132,58,23
S01006673,367,47,105,165,46,4
S01006674,544,17,145,313,53,16
S01006675,315,28,108,135,34,10
S01006676,358,47,98,162,40,11
S01006677,398,60,94,193,39,12
S01006678,525,77,180,201,55,12
S01006679,315,82,130,79,21,3
S01006680,416,42,144,175,45,10
S01006681,464,39,120,221,69,15
S01006682,384,58,108,158,45,15
S01006683,370,90,109,107,45,19
S01006684,401,27,89,209,58,18
S01006685,427,31,136,206,44,10
S01006686,305,30,137,108,20,10
S01006687,419,23,207,149,32,8
S01006688,510,177,114,180,33,6
S01006689,288,141,70,53,24,0
S01006690,308,42,140,99,22,5
S01006691,271,71,101,82,14,3
S01006692,361,153,97,93,11,7
S01006693,497,73,162,183,58,21
S01006694,480,54,235,149,36,6
S01006695,346,143,74,112,15,2
S01006696,390,75,125,135,44,11
S01006697,435,87,135,165,38,10
S01006698,409,25,92,243,32,17
S01006699,209,77,66,42,14,10
S01006700,431,133,126,122,39,11
S01006701,321,37,122,110,37,15
S01006702,332,67,149,82,31,3
S01006703,301,56,93,112,33,7
S01006704,301,18,110,133,30,10
S01006705,364,62,162,107,28,5
S01006706,272,43,101,96,23,9
S01006707,311,37,111,128,23,12
S01006708,364,47,143,134,33,7
S01006709,376,65,106,171,30,4
S01006710,415,119,142,133,16,5
S01006711,511,102,107,256,36,10
S01006712,250,31,110,81,22,6
S01006713,420,50,165,136,52,17
S01006714,304,110,75,92,21,6
S01006715,218,49,66,71,26,6
S01006716,242,73,82,65,17,5
S01006717,445,69,148,166,53,9
S01006718,248,103,72,46,21,6
S01006719,350,95,128,89,33,5
S01006720,242,56,81,73,26,6
S01006721,386,92,124,125,35,10
S01006722,312,76,96,105,24,11
S01006723,283,71,103,79,22,8
S01006724,343,62,86,132,50,13
S01006725,265,74,80,83,22,6
S01006726,505,80,130,195,76,24
S01006727,395,58,99,167,56,15
S01006728,334,67,125,113,19,10
S01006729,349,64,118,112,43,12
S01006730,276,105,71,74,17,9
S01006731,257,87,48,94,21,7
S01006732,353,254,50,30,11,8
S01006733,309,265,33,8,1,2
S01006734,352,247,71,30,4,0
S01006735,245,195,35,11,2,2
S01006736,395,281,90,22,2,0
S01006737,265,182,48,25,9,1
S01006738,453,102,154,164,26,7
S01006739,309,77,115,87,25,5
S01006740,335,81,125,96,29,4
S01006741,342,96,87,134,19,6
S01006742,233,80,51,84,16,2
S01006743,271,82,99,80,7,3
S01006744,302,75,89,110,26,2
S01006745,409,102,129,142,30,6
S01006746,350,114,87,110,38,1
S01006747,368,270,65,26,5,2
S01006748,408,190,96,98,21,3
S01006749,419,164,126,105,20,4
S01006750,292,114,97,66,12,3
S01006751,241,77,67,81,12,4
S01006752,339,112,114,93,18,2
S01006753,410,243,94,60,8,5
S01006754,400,250,93,49,8,0
S01006755,289,184,59,29,12,5
S01006756,286,139,49,70,22,6
S01006757,343,131,103,95,11,3
S01006758,318,145,86,68,17,2
S01006759,251,137,74,33,7,0
S01006760,235,56,66,91,18,4
S01006761,334,135,105,75,16,3
S01006762,416,171,101,124,17,3
S01006763,334,128,139,56,8,3
S01006764,345,80,126,115,24,0
S01006765,273,73,69,95,32,4
S01006766,240,148,56,29,6,1
S01006767,283,106,88,73,15,1
S01006768,212,181,20,8,3,0
S01006769,392,174,119,82,14,3
S01006770,273,166,76,21,6,4
S01006771,150,98,35,10,5,2
S01006772,375,180,104,76,13,2
S01006773,255,139,79,30,4,3
S01006774,221,133,60,23,5,0
S01006775,319,88,95,111,18,7
S01006776,271,47,80,116,22,6
S01006777,262,180,54,22,4,2
S01006778,287,128,87,56,16,0
S01006779,293,54,92,108,31,8
S01006780,254,105,84,50,13,2
S01006781,295,162,79,43,8,3
S01006782,341,154,66,75,41,5
S01006783,299,142,92,45,18,2
S01006784,302,126,92,77,6,1
S01006785,223,125,67,22,6,3
S01006786,339,188,68,52,20,11
S01006787,281,137,83,50,7,4
S01006788,302,166,103,22,10,1
S01006789,290,174,57,42,15,2
S01006790,444,220,81,110,32,1
S01006791,253,169,43,35,5,1
S01006792,214,151,42,13,4,4
S01006793,245,146,48,45,5,1
S01006794,280,153,60,56,10,1
S01006795,319,219,51,41,6,2
S01006796,222,155,37,29,0,1
S01006797,243,165,46,22,6,4
S01006798,225,153,44,21,6,1
S01006799,403,186,83,112,17,5
S01006800,320,263,32,19,5,1
S01006801,353,270,58,20,3,2
S01006802,298,165,58,65,8,2
S01006803,313,125,73,99,14,2
S01006804,295,176,72,32,14,1
S01006805,442,260,75,66,35,6
S01006806,429,273,83,64,7,2
S01006807,243,171,49,17,3,3
S01006808,248,195,36,9,5,3
S01006809,354,166,84,89,14,1
S01006810,370,198,84,70,14,4
S01006811,430,285,74,59,10,2
S01006812,304,189,69,37,8,1
S01006813,322,155,85,68,13,1
S01006814,282,235,32,11,3,1
S01006815,285,85,81,100,13,6
S01006816,298,170,55,67,6,0
S01006817,261,139,63,49,8,2
S01006818,278,203,44,19,8,4
S01006819,313,224,51,26,10,2
S01006820,180,129,38,10,2,1
S01006821,229,186,30,7,5,1
S01006822,279,225,35,13,6,0
S01006823,302,178,83,22,18,1
S01006824,367,110,115,129,11,2
S01006825,333,174,93,53,13,0
S01006826,344,237,49,50,7,1
S01006827,419,143,115,119,38,4
S01006828,485,164,122,160,34,5
S01006829,139,113,18,8,0,0
S01006830,301,167,63,57,10,4
S01006831,221,171,32,17,1,0
S01006832,424,261,83,56,16,8
S01006833,175,153,11,5,3,3
S01006834,163,130,17,13,3,0
S01006835,478,135,100,193,41,9
S01006836,210,112,48,42,6,2
S01006837,230,132,59,31,8,0
S01006838,249,163,46,36,4,0
S01006839,450,215,122,97,13,3
S01006840,366,308,43,11,2,2
S01006841,344,231,73,34,5,1
S01006842,308,198,75,32,3,0
S01006843,312,164,98,43,5,2
S01006844,332,98,111,89,24,10
S01006845,366,191,103,62,8,2
S01006846,240,97,72,56,13,2
S01006847,238,130,71,28,9,0
S01006848,364,245,75,28,14,2
S01006849,355,205,67,65,16,2
S01006850,365,118,136,96,14,1
S01006851,337,129,77,110,18,3
S01006852,229,175,33,18,2,1
S01006853,318,254,44,13,7,0
S01006854,364,226,53,72,11,2
S01006855,294,239,28,21,5,1
S01006856,254,176,57,17,4,0
S01006857,398,278,59,51,10,0
S01006858,240,185,38,13,3,1
S01006859,421,314,67,35,4,1
S01006860,264,73,86,93,9,3
S01006861,195,135,37,16,6,1
S01006862,312,167,70,58,14,3
S01006863,295,147,81,53,10,4
S01006864,165,63,48,43,9,2
S01006865,424,227,89,92,13,3
S01006866,220,168,33,18,1,0
S01006867,293,208,41,39,4,1
S01006868,364,202,62,85,13,2
S01006869,197,118,34,34,10,1
S01006870,196,134,32,24,4,2
S01006871,265,171,38,43,7,6
S01006872,252,206,28,12,6,0
S01006873,426,273,106,41,6,0
S01006874,216,162,30,15,7,2
S01006875,321,150,74,84,10,3
S01006876,396,256,70,50,18,2
S01006877,372,285,45,33,8,1
S01006878,322,208,54,54,6,0
S01006879,322,233,61,24,3,1
S01006880,227,177,35,8,6,1
S01006881,227,179,26,20,2,0
S01006882,207,62,58,69,17,1
S01006883,217,117,39,52,8,1
S01006884,390,229,82,67,11,1
S01006885,220,163,42,12,3,0
S01006886,321,214,49,47,11,0
S01006887,213,169,24,17,2,1
S01006888,309,218,47,37,6,1
S01006889,350,124,95,93,30,8
S01006890,264,172,52,31,9,0
S01006891,400,201,92,83,21,3
S01006892,275,59,80,114,16,6
S01006893,196,97,45,40,12,2
S01006894,448,198,118,112,18,2
S01006895,266,66,118,60,17,5
S01006896,361,163,96,72,26,4
S01006897,290,157,83,40,9,1
S01006898,340,143,82,79,22,14
S01006899,242,140,68,29,3,2
S01006900,234,113,83,28,7,3
S01006901,270,75,57,110,23,5
S01006902,296,101,67,102,23,3
S01006903,349,108,107,104,26,4
S01006904,330,107,98,103,19,3
S01006905,395,233,67,82,9,4
S01006906,441,89,125,190,30,7
S01006907,305,106,66,102,23,8
S01006908,426,120,124,155,21,6
S01006909,275,248,21,5,1,0
S01006910,353,259,51,32,5,6
S01006911,224,175,12,28,7,2
S01006912,170,128,21,14,5,2
S01006913,182,154,18,8,2,0
S01006914,273,198,46,18,10,1
S01006915,301,222,50,21,8,0
S01006916,207,105,41,48,13,0
S01006917,320,281,16,16,6,1
S01006918,195,130,39,22,3,1
S01006919,205,124,43,27,9,2
S01006920,243,103,48,82,9,1
S01006921,270,219,35,15,1,0
S01006922,201,136,44,17,3,1
S01006923,331,216,48,64,2,1
S01006924,208,171,24,9,3,1
S01006925,215,126,41,39,8,1
S01006926,263,205,43,13,2,0
S01006927,358,283,41,31,3,0
S01006928,416,250,84,56,22,4
S01006929,280,260,15,2,3,0
S01006930,358,272,72,12,1,1
S01006931,159,105,39,12,2,1
S01006932,195,139,26,25,3,2
S01006933,220,130,61,23,6,0
S01006934,234,145,52,30,6,1
S01006935,301,182,93,22,2,2
S01006936,274,163,57,49,4,1
S01006937,316,154,92,62,6,2
S01006938,254,88,78,70,16,2
S01006939,234,177,37,15,4,1
S01006940,378,236,80,50,10,2
S01006941,255,136,72,39,7,1
S01006942,390,247,85,52,6,0
S01006943,208,191,10,5,2,0
S01006944,327,184,73,58,11,1
S01006945,215,133,39,39,4,0
S01006946,314,192,73,35,13,1
S01006947,306,201,52,38,13,2
S01006948,372,245,57,58,9,3
S01006949,248,209,26,10,2,1
S01006950,199,103,34,56,5,1
S01006951,204,117,47,34,5,1
S01006952,364,256,66,25,16,1
S01006953,301,236,37,23,2,3
S01006954,317,208,71,30,6,2
S01006955,267,70,75,96,23,3
S01006956,394,244,85,53,10,2
S01006957,387,298,61,22,6,0
S01006958,435,262,115,51,5,2
S01006959,347,101,91,111,36,8
S01006960,318,260,24,27,6,1
S01006961,321,259,50,8,3,1
S01006962,409,179,140,78,10,2
S01006963,275,174,71,27,3,0
S01006964,348,110,142,76,15,5
S01006965,216,115,38,51,12,0
S01006966,253,99,58,84,10,2
S01006967,237,154,47,27,9,0
S01006968,224,80,80,53,11,0
S01006969,412,154,108,131,15,4
S01006970,258,203,29,22,3,1
S01006971,248,84,71,80,11,2
S01006972,192,143,35,8,6,0
S01006973,234,152,48,29,5,0
S01006974,393,271,80,34,6,2
S01006975,386,268,68,42,8,0
S01006976,172,132,21,11,6,2
S01006977,316,218,65,23,8,2
S01006978,371,248,63,46,12,2
S01006979,369,205,75,75,10,4
S01006980,326,230,58,28,7,3
S01006981,321,207,59,43,10,2
S01006982,359,193,89,60,15,2
S01006983,289,186,65,34,4,0
S01006984,275,200,41,25,9,0
S01006985,432,229,96,89,15,3
S01006986,243,157,30,44,9,3
S01006987,294,150,70,58,14,2
S01006988,218,149,31,29,9,0
S01006989,375,307,42,20,6,0
S01006990,313,254,33,20,5,1
S01006991,216,87,53,66,7,3
S01006992,241,190,36,9,5,1
S01006993,202,147,25,22,8,0
S01006994,226,183,28,11,4,0
S01006995,331,249,48,27,5,2
S01006996,306,168,63,61,10,4
S01006997,292,222,44,22,2,2
S01006998,450,307,83,54,4,2
S01006999,334,241,60,26,6,1
S01007000,414,232,80,88,11,3
S01007001,388,245,70,63,10,0
S01007002,230,130,56,36,8,0
S01007003,205,145,35,17,5,3
S01007004,304,222,51,25,5,1
S01007005,348,278,44,23,2,1
S01007006,394,229,89,57,14,5
S01007007,338,218,65,46,8,1
S01007008,450,179,129,110,24,8
S01007009,496,229,111,120,27,9
S01007010,392,208,65,105,10,4
S01007011,463,121,125,186,27,4
S01007012,322,62,115,121,17,7
S01007013,222,178,30,12,1,1
S01007014,381,282,77,16,5,1
S01007015,247,171,47,29,0,0
